 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,342,255,255,255,531.564,69.667,87.552,4.974,88.091
2,332,255,255,255,530.018,69.813,86.632,4.879,88.082
3,338,255,255,255,528.473,69.612,88.016,4.890,88.246
4,333,255,255,255,527.014,69.983,86.421,4.906,88.195
5,336,255,255,255,525.560,69.476,87.534,4.887,88.477
6,337,255,255,255,524.096,70.444,87.135,4.924,88.415
7,343,255,255,255,522.684,69.267,87.141,5.012,88.662
8,334,255,255,255,521.210,70.772,87.621,4.853,88.647
9,340,255,255,255,519.741,69.738,87.442,4.951,88.727
10,324,255,255,255,518.352,70.022,86.864,4.749,88.990
11,346,255,255,255,516.879,70.367,88.001,5.006,88.997
12,334,255,255,255,515.425,70.207,86.465,4.918,89.009
13,325,255,255,255,514.088,69.374,87.969,4.704,89.672
14,356,255,255,255,512.584,71.315,86.100,5.264,89.346
15,333,255,255,255,511.134,69.134,88.571,4.787,89.572
16,318,255,255,255,509.950,70.953,88.107,4.595,89.864
17,349,255,255,255,508.236,68.930,88.303,5.032,89.484
18,313,255,255,255,506.992,70.877,88.472,4.505,89.979
19,391,255,255,255,505.487,70.528,88.755,5.609,89.949
20,315,255,255,255,503.998,70.875,89.029,4.505,89.993
21,380,255,255,255,502.563,69.803,87.568,5.525,90.190
22,314,255,255,255,501.000,70.500,88.696,4.507,90.042
23,318,255,255,255,499.959,70.053,88.686,4.565,90.121
24,361,255,255,255,498.334,71.506,87.317,5.264,90.343
25,315,255,255,255,496.992,70.379,88.711,4.521,90.075
26,371,255,255,255,495.586,69.131,86.803,5.442,90.432
27,314,255,255,255,494.010,70.255,88.706,4.507,90.041
28,351,255,255,255,492.725,68.209,87.364,5.115,90.564
29,334,255,255,255,491.266,71.272,86.652,4.908,90.715
30,319,255,255,255,489.964,69.431,88.866,4.570,90.180
31,352,255,255,255,488.571,69.122,86.332,5.191,90.771
32,329,255,255,255,487.147,70.454,87.884,4.766,90.538
33,335,255,255,255,485.796,68.010,87.803,4.858,90.611
34,334,255,255,255,484.374,69.913,86.832,4.897,90.923
35,316,255,255,255,482.981,68.810,88.413,4.551,90.108
36,352,255,255,255,481.670,67.349,87.539,5.120,90.716
37,329,255,255,255,480.233,69.257,87.467,4.789,90.792
38,329,255,255,255,478.862,67.147,88.393,4.739,90.484
39,345,255,255,255,477.532,67.836,86.058,5.104,90.857
40,327,255,255,255,476.112,68.365,87.862,4.739,90.601
41,331,255,255,255,474.860,66.086,88.217,4.777,90.453
42,367,255,255,255,473.533,66.816,86.447,5.405,90.507
43,316,255,255,255,472.016,67.108,88.457,4.548,89.960
44,320,255,255,255,470.950,66.241,88.697,4.594,90.098
45,356,255,255,255,469.292,65.944,87.306,5.192,89.912
46,314,255,255,255,468.000,66.252,88.689,4.508,90.000
