 ,XM,YM,Major,Minor,Angle
1,245.544,33.036,28.343,2.399,89.461
2,244.883,33.312,27.989,2.297,89.303
3,244.190,33.065,27.857,2.431,89.495
4,243.560,32.912,27.613,2.380,90.163
5,242.803,33.101,28.344,2.479,90.023
6,242.151,33.090,27.940,2.373,90.507
7,241.376,33.327,27.614,2.504,90.531
8,240.756,33.220,28.417,2.393,90.714
9,239.970,33.300,27.711,2.495,90.970
10,239.347,33.242,28.657,2.363,91.023
11,238.530,33.087,28.024,2.457,91.429
12,237.924,33.313,28.320,2.371,91.078
13,237.108,33.197,28.157,2.425,91.488
14,236.457,33.228,28.458,2.350,91.335
15,235.663,33.291,28.377,2.366,91.532
16,234.937,33.103,28.114,2.459,91.385
17,234.221,33.255,28.074,2.382,91.449
18,233.419,33.064,28.051,2.515,91.281
19,232.751,32.969,27.846,2.360,91.219
20,231.937,33.180,28.426,2.382,91.310
21,231.240,33.133,27.952,2.433,91.251
22,230.485,33.221,27.910,2.416,91.198
23,229.729,33.071,27.620,2.544,91.024
24,229.025,33.088,27.888,2.398,90.928
25,228.243,32.868,27.894,2.509,90.902
26,227.568,33.101,28.136,2.387,90.761
27,226.762,32.688,28.477,2.448,90.663
28,226.111,32.879,28.068,2.362,90.616
29,225.287,32.479,28.128,2.418,90.459
30,224.604,32.858,27.685,2.425,90.503
31,223.839,32.602,28.325,2.411,90.221
32,223.061,32.896,27.527,2.470,90.395
33,222.405,32.558,28.317,2.422,90.129
34,221.604,32.621,27.554,2.427,90.041
35,220.959,32.638,28.332,2.410,89.983
36,220.171,32.623,27.372,2.422,89.996
37,219.535,32.495,28.670,2.392,89.862
38,218.723,32.746,27.687,2.415,89.759
39,218.100,32.473,28.433,2.372,89.779
40,217.274,32.667,27.755,2.378,89.701
41,216.641,32.494,28.154,2.425,89.649
42,215.846,32.752,27.594,2.372,89.633
43,215.199,32.479,28.098,2.420,89.580
44,214.410,32.756,28.037,2.395,89.660
45,213.745,32.522,27.923,2.395,89.431
46,212.982,32.828,28.051,2.384,89.541
47,212.303,32.558,27.468,2.310,89.581
48,211.562,32.698,28.440,2.391,89.749
49,210.864,32.913,27.694,2.301,89.837
50,210.128,32.680,28.118,2.408,89.840
51,209.384,32.869,27.104,2.383,89.878
52,208.696,32.732,28.266,2.406,90.006
53,207.938,32.874,27.739,2.431,90.251
54,207.281,32.649,28.426,2.392,90.158
55,206.508,32.924,27.721,2.422,90.336
56,205.857,32.833,28.226,2.409,90.318
57,205.111,33.049,27.893,2.448,90.519
58,204.443,32.804,28.179,2.393,90.478
59,203.691,33.074,27.648,2.439,90.714
60,203.016,32.908,27.591,2.382,90.725
