 ,XM,YM,Major,Minor,Angle
1,276.512,42.297,26.714,2.613,90.859
2,275.430,42.085,26.014,2.613,90.875
3,274.345,41.866,27.051,2.594,90.700
4,182.943,58.660,0.604,0.604,0.000
5,273.252,42.104,26.901,2.581,90.585
6,272.148,42.319,26.903,2.567,90.340
7,271.042,42.144,27.064,2.471,90.298
8,269.982,42.366,27.032,2.501,90.275
9,268.917,42.308,27.168,2.515,90.321
10,267.786,42.405,27.055,2.404,90.237
11,266.732,42.196,26.477,2.470,90.066
12,265.608,41.906,27.565,2.267,89.937
13,264.513,41.845,26.494,2.386,89.922
14,263.419,41.833,26.184,2.484,89.928
15,262.375,41.732,26.964,2.263,89.897
16,261.333,41.810,26.514,2.343,89.643
17,260.256,41.875,26.712,2.230,89.542
18,259.235,41.777,26.330,2.345,89.388
19,258.194,41.715,26.901,2.391,89.324
20,257.171,41.946,26.539,2.478,89.239
21,256.128,41.890,26.403,2.505,89.273
22,255.113,41.923,26.470,2.554,89.364
23,254.115,41.652,26.375,2.591,89.373
24,253.106,41.503,26.296,2.571,89.548
25,252.118,41.714,25.594,2.570,89.502
26,251.205,41.596,26.289,2.557,89.789
27,250.297,41.680,26.626,2.484,89.840
28,249.353,41.597,26.917,2.552,89.816
29,248.437,41.706,26.246,2.492,90.129
30,247.553,41.712,26.349,2.441,90.314
31,246.727,41.600,26.318,2.527,90.158
32,245.848,41.792,26.586,2.460,90.603
33,245.051,41.623,26.451,2.376,90.492
34,244.240,41.844,26.752,2.459,90.896
35,243.468,41.611,26.313,2.375,90.723
36,242.683,41.582,26.745,2.377,90.977
37,241.969,41.764,26.424,2.489,91.016
38,241.170,41.544,26.793,2.168,90.819
39,240.419,41.843,26.552,2.463,91.237
40,239.604,41.386,27.111,2.210,90.721
41,238.882,41.590,26.289,2.446,91.143
42,238.111,41.452,26.217,2.397,90.965
43,237.342,41.344,26.414,2.352,90.847
44,236.589,41.337,26.237,2.479,90.891
45,235.816,41.319,26.804,2.208,90.546
46,235.046,41.337,26.259,2.519,90.750
47,234.244,41.228,26.960,2.182,90.231
48,233.507,41.076,26.534,2.493,90.522
49,232.675,41.022,26.325,2.179,90.134
50,232.000,41.101,27.261,2.332,90.124
51,231.191,40.858,25.877,2.386,89.960
52,230.468,40.783,27.132,2.222,89.874
53,229.688,40.638,25.696,2.531,89.742
54,228.893,40.804,26.751,2.185,89.679
55,228.173,40.372,26.689,2.478,89.186
56,227.338,40.771,26.693,2.231,89.537
57,226.657,40.605,27.066,2.268,89.057
58,225.902,40.299,26.481,2.525,88.976
59,225.102,40.505,27.132,2.182,89.168
60,224.364,40.256,26.496,2.455,88.648
61,223.536,40.506,26.856,2.177,89.195
62,222.866,40.395,27.057,2.296,88.864
63,222.126,40.278,26.797,2.482,88.586
64,221.342,40.495,27.120,2.183,89.068
65,220.590,40.345,26.842,2.464,88.553
66,219.780,40.469,27.125,2.155,89.262
67,219.089,40.221,26.666,2.316,88.903
68,218.263,40.489,26.494,2.234,89.194
69,217.581,40.462,27.003,2.179,89.104
70,216.811,40.394,26.058,2.482,88.995
71,216.024,40.732,27.162,2.166,89.493
72,215.334,40.425,26.787,2.414,89.267
73,214.507,40.492,26.477,2.249,89.612
74,213.849,40.430,27.569,2.200,89.636
75,213.063,40.390,26.548,2.505,89.710
76,212.288,40.446,27.162,2.179,90.000
77,211.578,40.358,26.435,2.447,90.085
78,210.787,40.516,26.157,2.333,90.242
79,210.106,40.472,27.472,2.208,90.276
80,209.350,40.540,26.239,2.465,90.524
81,208.562,40.337,27.034,2.203,90.404
82,207.857,40.458,26.761,2.376,90.866
83,207.117,40.559,26.141,2.446,90.905
84,206.353,40.304,27.140,2.194,90.629
85,205.639,40.657,26.553,2.408,91.262
86,204.865,40.248,26.847,2.246,90.836
87,204.164,40.377,26.919,2.213,91.039
88,203.435,40.541,26.512,2.467,91.432
89,202.623,40.186,26.829,2.165,90.759
90,201.956,40.255,26.463,2.361,91.101
91,201.201,40.206,26.210,2.398,91.018
92,200.462,40.183,27.180,2.164,90.785
93,199.749,40.182,26.638,2.400,91.187
94,198.951,39.857,26.732,2.214,90.594
95,198.282,39.865,27.297,2.222,90.672
96,197.532,40.115,26.421,2.489,90.887
97,196.752,39.774,26.961,2.182,90.258
98,196.076,40.020,27.237,2.348,90.409
99,195.254,39.639,25.856,2.261,90.201
100,194.596,39.632,27.661,2.193,90.045
101,193.854,39.629,26.108,2.477,90.127
102,193.036,39.559,26.861,2.136,89.938
103,192.425,39.426,27.677,2.205,89.696
104,191.659,39.549,26.140,2.488,89.639
105,190.889,39.541,27.106,2.170,89.686
106,190.233,39.470,27.191,2.258,89.280
107,189.482,39.273,25.902,2.455,89.364
108,188.711,39.395,27.053,2.148,89.444
109,188.046,39.280,26.929,2.320,89.138
110,187.252,39.474,26.168,2.262,89.251
111,186.556,39.274,27.198,2.150,89.294
112,185.864,39.094,26.329,2.359,88.933
113,185.039,39.540,26.495,2.179,89.338
114,184.389,39.246,26.848,2.164,89.228
115,183.691,39.038,26.429,2.378,88.793
116,182.872,39.523,26.636,2.167,89.497
117,182.239,39.128,26.926,2.158,89.212
118,181.496,39.242,26.252,2.422,89.150
119,180.702,39.547,26.920,2.145,89.615
120,180.089,39.249,27.173,2.178,89.434
121,179.333,39.362,25.997,2.418,89.458
122,178.563,39.428,27.012,2.151,89.819
123,177.951,39.361,27.586,2.199,89.727
124,177.168,39.343,26.033,2.372,89.752
125,176.412,39.463,26.634,2.154,90.011
126,175.783,39.423,26.849,2.232,90.143
127,175.010,39.577,26.207,2.398,90.192
128,174.261,39.344,26.796,2.168,90.186
129,173.634,39.701,26.884,2.229,90.619
130,172.886,39.437,26.202,2.399,90.649
131,172.118,39.368,26.886,2.161,90.375
132,171.479,39.429,26.694,2.259,90.804
133,170.743,39.470,26.304,2.403,90.857
134,169.977,39.429,26.980,2.126,90.656
135,169.338,39.544,26.969,2.222,90.821
136,168.618,39.611,26.627,2.484,91.106
