 ,XM,YM,Major,Minor,Angle
1,274.471,47.475,27.370,2.763,88.334
2,273.208,47.655,26.866,2.761,88.461
3,271.973,47.434,27.160,2.664,88.441
4,270.862,47.505,27.622,2.685,88.199
5,269.738,47.578,28.288,2.713,87.989
6,268.629,47.874,27.241,2.696,88.223
7,267.523,48.013,27.267,2.787,88.237
8,266.411,47.708,27.005,2.774,88.408
9,265.227,47.943,27.195,2.647,88.605
10,264.061,48.155,26.813,2.576,88.916
11,262.954,48.101,27.373,2.630,88.867
12,261.896,48.015,27.360,2.591,89.028
13,260.841,48.082,27.420,2.519,89.129
14,259.771,48.171,27.512,2.497,89.135
15,258.753,48.425,28.178,2.347,89.042
16,257.731,48.391,27.703,2.414,89.226
17,256.720,48.465,27.076,2.645,89.446
18,255.743,48.323,26.899,2.622,89.391
19,254.746,48.495,27.455,2.675,89.486
20,253.729,48.604,27.822,2.705,89.484
21,252.777,48.531,27.577,2.544,89.648
22,251.908,48.658,27.897,2.541,89.737
23,251.003,48.744,28.104,2.704,89.845
24,250.064,48.385,27.856,2.545,89.933
25,249.213,48.628,27.851,2.493,90.068
26,248.350,48.655,27.607,2.647,90.006
27,247.467,48.571,27.690,2.454,90.164
28,246.692,48.778,27.322,2.608,90.207
29,245.859,48.478,27.096,2.454,90.196
30,245.135,48.678,27.652,2.669,90.258
31,244.361,48.613,27.795,2.353,90.386
32,243.616,48.535,27.288,2.544,90.297
33,242.824,48.749,27.597,2.463,90.373
34,242.076,48.635,27.496,2.458,90.304
35,241.394,48.630,27.085,2.577,90.540
36,240.666,48.777,27.826,2.429,90.671
37,239.887,48.475,27.297,2.476,90.541
38,239.167,48.434,27.060,2.593,90.681
39,238.451,48.702,28.134,2.299,90.644
40,237.699,48.365,27.310,2.462,90.763
41,236.985,48.341,27.570,2.531,90.765
42,236.219,48.354,27.147,2.329,90.579
43,235.526,48.196,27.316,2.488,90.747
44,234.776,48.376,27.456,2.449,90.754
45,233.991,48.084,27.435,2.477,90.591
46,233.260,48.113,27.451,2.556,90.485
47,232.510,47.899,28.083,2.251,90.195
48,231.799,47.685,27.350,2.472,90.455
49,231.046,47.838,27.482,2.446,90.344
50,230.282,47.710,27.137,2.424,90.065
51,229.572,47.799,27.349,2.538,89.832
52,228.818,47.529,27.849,2.296,89.661
53,228.106,47.536,27.594,2.476,89.677
54,227.395,47.477,26.969,2.588,89.399
55,226.621,47.446,28.456,2.286,89.161
56,225.872,47.427,27.353,2.565,88.950
57,225.123,47.428,27.417,2.332,88.924
58,224.429,47.324,28.582,2.314,88.771
59,223.679,47.320,26.791,2.605,88.613
60,222.914,47.407,27.911,2.239,88.694
61,222.230,47.055,27.775,2.381,88.543
62,221.511,47.310,27.117,2.601,88.413
63,220.747,47.548,28.612,2.222,88.603
64,220.027,47.058,27.113,2.520,88.643
65,219.326,47.457,27.071,2.592,88.633
