 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle
1,396,255,255,255,614.987,88.593,91.573,5.506,91.510
2,392,255,255,255,613.286,87.538,92.804,5.378,91.798
3,391,255,255,255,611.697,88.643,92.760,5.367,91.784
4,400,255,255,255,609.933,88.715,92.231,5.522,91.459
5,407,255,255,255,608.031,87.330,93.018,5.571,91.280
6,372,255,255,255,606.395,86.981,93.427,5.070,91.546
7,385,255,255,255,604.832,88.362,92.196,5.317,91.417
8,411,255,255,255,602.989,86.977,92.524,5.656,91.155
9,391,255,255,255,601.173,86.761,93.426,5.329,91.002
10,355,255,255,255,599.587,85.728,92.436,4.890,90.910
11,410,255,255,255,597.966,85.990,92.816,5.624,91.015
12,377,255,255,255,596.264,87.542,92.838,5.170,90.565
13,409,255,255,255,594.483,85.874,93.599,5.564,90.105
14,386,255,255,255,592.650,84.383,93.193,5.274,90.278
15,364,255,255,255,591.179,86.239,91.792,5.049,90.254
16,409,255,255,255,589.473,85.033,93.539,5.567,89.978
17,407,255,255,255,587.537,84.910,94.007,5.512,89.947
18,360,255,255,255,586.022,85.181,93.038,4.927,89.617
19,398,255,255,255,584.415,83.867,92.682,5.468,89.631
20,395,255,255,255,582.632,85.254,92.536,5.435,89.362
21,388,255,255,255,581.023,84.668,93.406,5.289,89.053
22,408,255,255,255,579.275,84.887,92.619,5.609,89.001
23,390,255,255,255,577.551,84.708,92.532,5.366,88.956
24,384,255,255,255,575.953,84.419,94.200,5.190,88.887
25,391,255,255,255,574.275,85.329,92.029,5.410,88.675
26,392,255,255,255,572.589,84.648,92.561,5.392,88.567
27,385,255,255,255,571.058,84.406,92.513,5.299,88.560
28,394,255,255,255,569.386,85.140,92.834,5.404,88.338
29,396,255,255,255,567.657,85.207,93.323,5.403,88.193
30,378,255,255,255,566.019,85.169,91.746,5.246,88.139
31,391,255,255,255,564.403,85.009,92.746,5.368,88.152
32,397,255,255,255,562.644,85.178,92.824,5.446,88.232
33,384,255,255,255,561.143,85.044,92.329,5.295,88.121
