 ,Area,XM,YM,Major,Minor,Angle
1,2,9.500,26.000,2.257,1.128,90.000
2,989,883.315,101.830,104.548,12.045,82.100
3,5,401.300,272.900,3.144,2.025,18.435
4,11,762.955,277.227,6.327,2.214,93.058
5,2,260.500,282.000,2.257,1.128,90.000
6,1,9.500,26.500,1.128,1.128,0.000
7,944,881.833,100.940,102.686,11.705,80.486
8,5,401.300,272.900,3.144,2.025,18.435
9,11,762.955,277.227,6.327,2.214,93.058
10,2,260.500,282.000,2.257,1.128,90.000
11,940,879.909,100.432,101.980,11.736,78.698
12,5,401.300,272.900,3.144,2.025,18.435
13,11,762.955,277.227,6.327,2.214,93.058
14,2,260.500,282.000,2.257,1.128,90.000
15,2,9.500,26.000,2.257,1.128,90.000
16,976,877.413,101.334,104.137,11.933,77.432
17,1,172.500,144.500,1.128,1.128,0.000
18,5,401.300,272.900,3.144,2.025,18.435
19,11,762.955,277.227,6.327,2.214,93.058
20,2,260.500,282.000,2.257,1.128,90.000
21,1014,875.012,102.480,106.289,12.147,76.648
22,1,172.500,144.500,1.128,1.128,0.000
23,5,401.300,272.900,3.144,2.025,18.435
24,12,762.833,277.250,5.905,2.587,92.424
25,1,260.500,282.500,1.128,1.128,0.000
26,2,9.500,26.000,2.257,1.128,90.000
27,1030,872.493,105.134,106.942,12.263,76.301
28,5,401.300,272.900,3.144,2.025,18.435
29,11,762.955,277.227,6.327,2.214,93.058
30,1014,869.625,108.337,107.093,12.056,76.509
31,4,401.000,273.000,2.257,2.257,0.000
32,11,762.955,277.227,6.327,2.214,93.058
33,986,866.597,112.362,105.400,11.911,77.238
34,4,401.000,273.000,2.257,2.257,0.000
35,11,762.955,277.227,6.327,2.214,93.058
36,2,260.500,282.000,2.257,1.128,90.000
37,1,9.500,26.500,1.128,1.128,0.000
38,943,864.039,117.063,103.002,11.657,78.453
39,5,401.300,272.900,3.144,2.025,18.435
40,13,762.731,277.038,6.077,2.724,99.692
41,2,260.500,282.000,2.257,1.128,90.000
42,911,861.644,121.950,102.079,11.363,80.345
43,1,172.500,144.500,1.128,1.128,0.000
44,5,401.300,272.900,3.144,2.025,18.435
45,11,762.955,277.227,6.327,2.214,93.058
46,1,260.500,282.500,1.128,1.128,0.000
47,2,9.500,26.000,2.257,1.128,90.000
48,934,859.236,126.854,102.406,11.613,82.490
49,1,172.500,144.500,1.128,1.128,0.000
50,5,401.300,272.900,3.144,2.025,18.435
51,11,762.955,277.227,6.327,2.214,93.058
52,1,260.500,282.500,1.128,1.128,0.000
53,973,857.283,132.116,104.844,11.816,84.852
54,1,172.500,144.500,1.128,1.128,0.000
55,4,401.000,273.000,2.257,2.257,0.000
56,13,762.731,277.038,6.077,2.724,99.692
57,2,260.500,282.000,2.257,1.128,90.000
58,1007,855.744,137.441,106.779,12.008,87.293
59,5,401.300,272.900,3.144,2.025,18.435
60,11,762.955,277.227,6.327,2.214,93.058
61,2,260.500,282.000,2.257,1.128,90.000
62,995,854.583,142.455,106.782,11.864,90.230
63,4,401.000,273.000,2.257,2.257,0.000
64,12,762.833,277.083,6.187,2.469,97.804
65,1,260.500,281.500,1.128,1.128,0.000
66,1013,853.616,147.047,106.606,12.099,93.516
67,5,401.300,272.900,3.144,2.025,18.435
68,13,762.731,277.038,6.077,2.724,99.692
69,1,260.500,282.500,1.128,1.128,0.000
70,1008,852.726,150.913,105.668,12.146,96.483
71,5,401.300,272.900,3.144,2.025,18.435
72,13,762.731,277.038,6.077,2.724,99.692
73,2,260.500,282.000,2.257,1.128,90.000
74,1,9.500,26.500,1.128,1.128,0.000
75,932,852.138,153.786,102.137,11.618,99.484
76,5,401.300,272.900,3.144,2.025,18.435
77,11,762.955,277.227,6.327,2.214,93.058
78,2,260.500,282.000,2.257,1.128,90.000
79,911,851.178,155.987,101.697,11.406,102.361
80,5,401.300,272.900,3.144,2.025,18.435
81,11,762.955,277.227,6.327,2.214,93.058
82,2,260.500,282.000,2.257,1.128,90.000
83,2,9.500,26.000,2.257,1.128,90.000
84,937,849.710,156.822,102.645,11.623,104.754
85,5,401.300,272.900,3.144,2.025,18.435
86,12,762.833,277.083,6.187,2.469,97.804
87,2,260.500,282.000,2.257,1.128,90.000
88,2,10.000,26.500,2.257,1.128,0.000
89,986,847.847,156.794,104.001,12.071,106.644
90,5,401.300,272.900,3.144,2.025,18.435
91,12,762.833,277.250,5.905,2.587,92.424
92,2,260.500,282.000,2.257,1.128,90.000
93,1006,845.594,155.595,105.189,12.177,108.111
94,1,172.500,145.500,1.128,1.128,0.000
95,5,401.300,272.900,3.144,2.025,18.435
96,11,762.955,277.227,6.327,2.214,93.058
97,2,261.000,282.500,2.257,1.128,0.000
98,1013,842.912,153.576,105.700,12.202,109.234
99,5,401.300,272.900,3.144,2.025,18.435
