Slice,Count,Total Area,Average Size,%Area,Major,Minor,Angle
1.70 s,5,1009,201.800,0.394,23.707,3.708,74.719
1.73 s,5,963,192.600,0.376,23.109,3.640,56.396
1.77 s,4,958,239.500,0.374,28.427,4.276,70.048
1.80 s,6,997,166.167,0.390,19.875,3.259,61.487
1.83 s,5,1033,206.600,0.404,23.519,3.803,37.501
1.87 s,4,1048,262.000,0.410,29.668,4.407,69.448
1.90 s,3,1029,343.000,0.402,38.559,5.509,56.522
1.93 s,4,1003,250.750,0.392,29.060,4.377,65.074
1.97 s,5,964,192.800,0.377,23.122,3.732,57.316
2.00 s,5,929,185.800,0.363,22.761,3.572,38.367
2.03 s,6,954,159.000,0.373,19.398,3.206,47.330
2.07 s,5,993,198.600,0.388,23.313,3.811,54.909
2.10 s,4,1025,256.250,0.401,29.627,4.344,72.196
2.13 s,4,1012,253.000,0.396,29.089,4.430,47.009
2.17 s,4,1032,258.000,0.403,29.239,4.494,52.911
2.20 s,4,1028,257.000,0.402,29.286,4.506,76.153
2.23 s,5,951,190.200,0.372,22.999,3.623,60.195
2.27 s,4,929,232.250,0.363,28.356,4.193,75.963
2.30 s,5,958,191.600,0.374,23.298,3.675,80.199
2.33 s,5,1007,201.400,0.394,23.513,3.788,61.500
2.37 s,5,1025,205.000,0.401,23.609,3.734,43.921
2.40 s,4,1032,258.000,0.403,29.271,4.477,78.293
2.43 s,4,990,247.500,0.387,28.702,4.371,56.409
2.47 s,5,970,194.000,0.379,23.133,3.797,72.046
2.50 s,6,936,156.000,0.366,19.488,3.254,67.686
2.53 s,5,959,191.800,0.375,22.974,3.737,62.815
2.57 s,5,979,195.800,0.383,23.579,3.747,87.938
2.60 s,6,1029,171.500,0.402,19.974,3.293,50.288
2.63 s,5,1014,202.800,0.396,23.581,3.688,41.664
2.67 s,6,1007,167.833,0.394,19.735,3.257,34.118
2.70 s,4,983,245.750,0.384,28.900,4.299,72.850
2.73 s,6,941,156.833,0.368,19.354,3.260,49.043
2.77 s,6,982,163.667,0.384,19.611,3.408,47.704
2.80 s,5,960,192.000,0.375,23.138,3.629,56.070
2.83 s,5,968,193.600,0.378,23.175,3.674,51.797
2.87 s,5,997,199.400,0.390,23.328,3.773,52.231
2.90 s,3,994,331.333,0.389,37.844,5.449,54.735
2.93 s,5,963,192.600,0.376,23.498,3.716,81.260
2.97 s,5,935,187.000,0.365,22.880,3.659,54.003
3.00 s,5,929,185.800,0.363,23.080,3.673,73.447
3.03 s,5,964,192.800,0.377,23.356,3.615,54.261
3.07 s,5,992,198.400,0.388,23.521,3.642,36.545
3.10 s,3,997,332.333,0.390,38.576,5.380,55.549
3.13 s,4,1018,254.500,0.398,29.870,4.296,69.510
3.17 s,5,1013,202.600,0.396,23.695,3.673,38.287
3.20 s,5,987,197.400,0.386,23.346,3.741,40.344
3.23 s,4,947,236.750,0.370,28.474,4.208,49.728
3.27 s,3,970,323.333,0.379,37.579,5.382,61.400
3.30 s,5,973,194.600,0.380,23.356,3.763,64.533
3.33 s,4,1007,251.750,0.394,29.163,4.428,54.076
3.37 s,3,996,332.000,0.389,38.157,5.422,64.961
3.40 s,5,998,199.600,0.390,23.265,3.714,39.671
3.43 s,5,956,191.200,0.374,22.911,3.651,40.269
